bigtech_name,language,creation_at
google,Rust,10-07-2025
google,Rust,10-07-2025
google,Rust,24-06-2025
google,R,28-03-2025
google,Swift,27-06-2025
google,JavaScript,21-05-2025
google,Java,04-07-2025
google,C#,26-06-2025
google,Java,02-07-2025
google,Kotlin,11-07-2025
google,Go,12-05-2025
google,HTML,02-03-2025
google,Go,07-07-2025
google,C,16-06-2025
google,HTML,11-07-2025
google,Java,11-07-2025
google,Python,11-07-2025
google,Python,11-07-2025
google,TypeScript,11-07-2025
google,TypeScript,24-06-2025
google,JavaScript,10-07-2025
google,C,11-07-2025
google,Python,17-03-2025
google,JavaScript,25-10-2024
google,Java,05-07-2025
google,Go,08-07-2025
google,HTML,18-03-2025
google,Python,10-07-2025
google,JavaScript,06-05-2025
google,C++,25-06-2025
google,TypeScript,25-10-2024
google,Python,08-07-2025
google,Go,02-06-2025
google,Rust,08-07-2025
google,Python,15-06-2025
google,Java,11-07-2025
google,C++,29-06-2025
google,JavaScript,17-03-2025
google,JavaScript,17-03-2025
google,Python,14-03-2025
google,Java,09-07-2025
google,Java,08-07-2025
google,C++,11-07-2025
google,Kotlin,11-07-2025
google,HTML,18-06-2025
google,Java,04-07-2025
google,Java,26-05-2025
google,Kotlin,02-06-2025
google,Java,23-05-2025
google,C++,11-07-2025
google,Dart,25-10-2024
google,Python,23-01-2025
google,Shell,28-01-2025
google,Shell,03-05-2025
google,Go,25-10-2024
google,Kotlin,05-05-2025
google,Python,07-04-2025
google,Objective-C,13-06-2025
google,JavaScript,06-05-2025
google,Java,29-07-2024
google,Shell,29-03-2023
google,Jupyter Notebook,26-04-2025
google,Dart,18-05-2025
google,Go,07-07-2025
google,TypeScript,03-06-2025
google,Python,29-05-2025
google,PHP,29-03-2023
google,PHP,23-02-2025
google,PHP,29-03-2023
google,PHP,22-04-2025
google,TypeScript,23-02-2025
google,Java,13-05-2025
google,Rust,10-07-2025
google,Python,09-02-2025
google,Rust,03-07-2025
google,Python,08-09-2023
google,TypeScript,08-07-2025
google,Rust,12-06-2025
google,JavaScript,25-10-2024
google,Python,02-03-2025
google,C++,25-04-2025
google,C++,04-07-2025
google,HTML,25-10-2024
google,Python,25-10-2024
google,JavaScript,25-10-2024
google,C,16-05-2025
google,Go,16-05-2025
google,Rust,29-05-2025
google,Java,09-07-2025
google,Python,14-06-2025
google,Python,25-10-2024
google,Rust,10-07-2025
google,C++,11-07-2025
google,TypeScript,25-10-2024
google,Jupyter Notebook,11-07-2025
google,Rust,09-07-2025
google,Ruby,04-04-2025
google,Go,21-06-2025
google,Python,21-03-2025
google,Java,31-01-2025
google,C++,11-02-2025
google,Go,08-07-2025
google,Python,09-07-2025
google,Starlark,30-06-2025
google,Starlark,25-05-2025
google,JavaScript,30-12-2024
google,C++,11-07-2025
google,Rust,19-04-2025
google,Python,07-07-2025
google,Python,08-07-2025
google,C++,09-07-2025
google,Java,11-07-2025
google,C++,11-07-2025
google,Java,01-07-2025
google,Python,19-06-2025
google,Python,25-10-2024
google,Python,25-10-2024
google,C++,11-07-2025
google,TypeScript,11-07-2025
google,Java,19-05-2025
google,JavaScript,02-11-2024
google,JavaScript,04-07-2025
google,Swift,25-05-2025
google,JavaScript,11-07-2025
google,Shell,25-10-2024
google,Go,25-10-2024
google,C++,11-07-2025
google,Dart,04-06-2025
google,Jupyter Notebook,19-06-2025
google,Jupyter Notebook,11-07-2025
google,C++,23-01-2025
google,Python,07-07-2025
google,C++,07-07-2025
google,Rust,11-07-2025
google,TypeScript,11-07-2025
google,C++,30-06-2025
google,Haskell,08-12-2024
google,Go,11-07-2025
google,Go,25-10-2024
google,Python,24-06-2025
google,TypeScript,11-07-2025
google,Shell,18-07-2024
google,HTML,11-07-2025
google,Dart,24-06-2025
google,Dart,08-07-2025
google,Go,05-06-2025
google,Java,10-07-2025
google,C++,08-07-2025
google,Python,07-05-2025
google,C,19-04-2023
google,Starlark,25-10-2024
google,Go,21-05-2025
google,Go,11-07-2025
google,Go,23-01-2025
google,Python,08-06-2025
google,Java,07-07-2025
google,Java,25-10-2024
google,Jupyter Notebook,07-07-2025
google,Java,10-07-2025
google,Python,25-10-2024
google,JavaScript,21-03-2025
google,HTML,04-03-2025
google,Java,11-05-2025
google,Python,11-07-2025
google,C,14-12-2024
google,Groff,29-03-2023
google,C++,24-04-2025
